"hash","added lines","deleted lines","file"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",5,5,"Initialization/linux-initialization-8.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",4,4,"Initialization/linux-initialization-9.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",1,1,"Interrupts/linux-interrupts-1.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",3,3,"Interrupts/linux-interrupts-10.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",1,1,"Interrupts/linux-interrupts-2.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",1,1,"Interrupts/linux-interrupts-3.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",2,2,"Interrupts/linux-interrupts-4.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",2,2,"Interrupts/linux-interrupts-6.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",8,8,"Interrupts/linux-interrupts-7.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",3,3,"Interrupts/linux-interrupts-8.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",4,4,"Interrupts/linux-interrupts-9.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",1,1,"MM/linux-mm-2.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",6,7,"MM/linux-mm-3.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",2,2,"SyncPrim/linux-sync-2.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",4,4,"SyncPrim/linux-sync-3.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",4,4,"SyncPrim/linux-sync-4.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",4,4,"SyncPrim/linux-sync-5.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",2,2,"SysCall/linux-syscall-2.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",2,2,"SysCall/linux-syscall-3.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",2,2,"SysCall/linux-syscall-4.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",4,4,"Timers/linux-timers-3.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",4,4,"Timers/linux-timers-4.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",2,2,"Timers/linux-timers-5.md"
"4a57db70154e00a782ee50dccd5be575589ebe16",2,2,"Initialization/linux-initialization-5.md"
"4a57db70154e00a782ee50dccd5be575589ebe16",5,5,"Initialization/linux-initialization-7.md"
"4a57db70154e00a782ee50dccd5be575589ebe16",1,1,"Interrupts/linux-interrupts-7.md"
"4a57db70154e00a782ee50dccd5be575589ebe16",6,6,"SysCall/README.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",6,6,"Concepts/linux-cpu-4.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",3,3,"Misc/linux-misc-4.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",2,2,"SyncPrim/linux-sync-1.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",5,5,"SyncPrim/linux-sync-2.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",5,5,"SyncPrim/linux-sync-3.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",4,4,"SyncPrim/linux-sync-4.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",6,6,"SyncPrim/linux-sync-5.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",9,9,"SyncPrim/linux-sync-6.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",3,3,"SysCall/linux-syscall-2.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",3,3,"SysCall/linux-syscall-3.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",3,3,"SysCall/linux-syscall-4.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",2,2,"SysCall/linux-syscall-5.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",1,1,"Timers/linux-timers-1.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",5,5,"Timers/linux-timers-2.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",2,2,"Timers/linux-timers-3.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",6,6,"Timers/linux-timers-4.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",2,2,"Timers/linux-timers-5.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",3,3,"Timers/linux-timers-6.md"
"4704d82b25a59003deb0406b84524a30d3b70aef",5,5,"Timers/linux-timers-7.md"
"0c5ebb0990e71129865a52aecdd70909c6c4fa74",,,"LinuxKernelInsides.pdf"
"0c5ebb0990e71129865a52aecdd70909c6c4fa74",8,0,"Scripts/README.md"
"0c5ebb0990e71129865a52aecdd70909c6c4fa74",4,5,"latex.sh"
"193bc74254a7519d6bc7a86cb24fc0336b962470",2,2,"SyncPrim/linux-sync-6.md"
"193bc74254a7519d6bc7a86cb24fc0336b962470",1,1,"Timers/linux-timers-4.md"
"72c71c25603b467c447a5fb5c8be027f4c82722c",1,1,"Initialization/linux-initialization-8.md"
"72c71c25603b467c447a5fb5c8be027f4c82722c",3,3,"Interrupts/linux-interrupts-10.md"
"72c71c25603b467c447a5fb5c8be027f4c82722c",5,5,"Interrupts/linux-interrupts-2.md"
"72c71c25603b467c447a5fb5c8be027f4c82722c",7,7,"Interrupts/linux-interrupts-4.md"
"72c71c25603b467c447a5fb5c8be027f4c82722c",4,4,"Interrupts/linux-interrupts-5.md"
"72c71c25603b467c447a5fb5c8be027f4c82722c",5,5,"Interrupts/linux-interrupts-6.md"
"72c71c25603b467c447a5fb5c8be027f4c82722c",2,2,"Interrupts/linux-interrupts-7.md"
"72c71c25603b467c447a5fb5c8be027f4c82722c",6,6,"Interrupts/linux-interrupts-8.md"
"72c71c25603b467c447a5fb5c8be027f4c82722c",4,4,"Interrupts/linux-interrupts-9.md"
"72c71c25603b467c447a5fb5c8be027f4c82722c",2,2,"MM/linux-mm-3.md"
"72c71c25603b467c447a5fb5c8be027f4c82722c",1,1,"SysCall/linux-syscall-2.md"
"7c0d65420c391c7419cc4e475a39c12c426c9e75",2,2,"Booting/linux-bootstrap-2.md"
"ab197de19848e7241412e9f83f8a3171c3185675",6,6,"Booting/linux-bootstrap-5.md"
"5d923e14c7a744f1591a3c0b40911071e2da0b55",13,0,"Scripts/README.md"
"5d923e14c7a744f1591a3c0b40911071e2da0b55",77,0,"Scripts/get_all_links.py"
"869c31442e967575805171ecc7e8f3904de3e4b3",2,2,"MM/linux-mm-3.md"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",1,1,"Concepts/linux-cpu-1.md"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",1,1,"Initialization/linux-initialization-4.md"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",3,3,"Initialization/linux-initialization-6.md"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",2,2,"Initialization/linux-initialization-7.md"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",3,3,"Initialization/linux-initialization-8.md"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",3,3,"Initialization/linux-initialization-9.md"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",0,0,"{interrupts"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",0,0,"{interrupts"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",6,6,"{interrupts"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",5,5,"{interrupts"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",2,2,"{interrupts"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",12,12,"{interrupts"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",5,5,"{interrupts"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",7,7,"{interrupts"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",2,2,"{interrupts"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",7,7,"{interrupts"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",5,5,"{interrupts"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",0,0,"{mm"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",0,0,"{mm"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",1,1,"{mm"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",3,3,"{mm"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",15,15,"SUMMARY.md"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",2,2,"SysCall/linux-syscall-1.md"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",2,2,"SysCall/linux-syscall-2.md"
"f159c63e0c85839e9273391a20f1bcab5c3426ea",2,2,"SysCall/linux-syscall-3.md"
"2da09c87552b0e4f344e5bbc41b059e38cf7d98e",10,8,"Booting/linux-bootstrap-1.md"
